nn  1  5     0.0    0.0    1.0  454.6  454.6  0.000 0.386E-01 0.752E-03 0.462E-01 0.618E-03 1.1968 0.398E-01 0.477E-01

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
