nn  1  7     0.0    0.0    1.0  654.6  654.6  0.000 0.272E-02 0.801E-03 0.341E-02 0.639E-03 1.2547 0.272E-02 0.341E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
