nn  1  5     0.0    0.0    1.0  754.6  754.6  0.000 0.391E-02 0.758E-03 0.449E-02 0.607E-03 1.1461 0.392E-02 0.449E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
