nn  1  7     0.0    0.0    1.0  704.6  704.6  0.000 0.184E-02 0.802E-03 0.229E-02 0.642E-03 1.2467 0.184E-02 0.230E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
