nn  1  5     0.0    0.0    1.0  654.6  654.6  0.000 0.788E-02 0.756E-03 0.928E-02 0.602E-03 1.1769 0.789E-02 0.929E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
