nn  1  7     0.0    0.0    1.0  804.5  804.5  0.000 0.881E-03 0.804E-03 0.109E-02 0.645E-03 1.2363 0.881E-03 0.109E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
