nn  1  5     0.0    0.0    1.0  854.5  854.5  0.000 0.203E-02 0.760E-03 0.228E-02 0.609E-03 1.1200 0.203E-02 0.228E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
